Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
SP79359	0.00E+00	9.46E-02	9.32E-02	6.50E-02	1.40E-01	2.00E-02	6.96E-02
SP79330	8.65E-02	0.00E+00	2.00E-02	1.02E-01	0.00E+00	3.71E-02	0.00E+00
SP79391	4.19E-02	2.29E-01	2.56E-01	2.06E-01	5.98E-01	0.00E+00	5.53E-01
SP79399	6.01E-02	0.00E+00	0.00E+00	7.88E-02	2.18E-01	0.00E+00	2.19E-01
SP79243	4.02E-02	2.73E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.51E-02
SP79192	1.10E-01	1.23E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01
SP79395	2.63E-01	1.43E-01	2.99E-01	5.16E-01	5.94E-01	0.00E+00	5.22E-01
SP79195	1.37E-01	0.00E+00	1.54E-01	0.00E+00	1.70E-01	5.62E-02	2.38E-01
SP79318	0.00E+00	0.00E+00	1.64E-01	1.60E-01	2.20E-01	0.00E+00	9.35E-02
SP79282	1.16E-01	1.16E-01	2.52E-01	3.05E-01	3.53E-01	0.00E+00	3.89E-01
SP79261	8.58E-02	0.00E+00	7.78E-02	0.00E+00	3.43E-02	1.01E-01	1.00E-02
SP79228	1.23E-01	1.61E-01	0.00E+00	1.54E-01	2.63E-01	1.57E-01	2.57E-01
SP79431	1.67E-01	1.28E-01	1.11E-01	2.42E-01	2.27E-01	0.00E+00	3.25E-01
SP79172	1.02E-01	1.46E-01	1.83E-01	2.47E-01	2.60E-01	7.20E-02	3.24E-01
SP79234	2.59E-01	2.68E-01	1.69E-01	3.74E-01	5.23E-01	1.77E-01	2.13E-01
SP79345	9.13E-02	1.22E-01	2.81E-02	1.40E-01	1.64E-01	4.11E-02	1.66E-01
