hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14
T[Del(C):R5]A	0.00220239805260758	0.000476183669990014	0.00826815428158641	0.000184726148836994	0.0013369851313713	0.00189131131930263	0.00043245325223044	0.000187941795510196	0.00162235815019357	0.000416332232438704	0.0061358726281907	0.00170730368706142	0.00150996420199928	0.000309943992284516
T[Del(C):R5]G	0.000390847697588374	3.22557457231424e-05	0.00195648730048165	0.000105530194153374	0.00019305625057891	0.000474667172417756	0.000105111212657604	0.00010664042334462	3.96325671716016e-05	5.77553082942009e-05	0.00172852210644705	7.70288395468495e-06	0.000415021951832404	0.000182806555495447
T[Del(C):R5]T	0.00274922791169376	0.000254702416479811	0.0049739495877357	0.00012521710578515	0.000789097911651237	0.000829514313121742	0.000223632113595051	0.000745119294088867	0.00103276065671986	0.000310290192992415	0.00656994968077115	0.000150510298325094	0.00201148346039568	0.000329402893211277
T[Del(C):R6]A	0.00404440424242315	0.000442149916442299	0.00441319858047338	0.000384053230564614	0.000667462125536515	0.00120666713224418	0.00023110932047188	0.000912302188647761	0.000293038639644702	0.000536341176237781	0.00142097452651751	0.00170456713618278	0.00229055227798524	0.00051149536059932
T[Del(C):R6]G	0.000820533171356899	2.49741140977702e-05	0.000748934368378704	0.0001051900983105	0.000276543826917205	2.80864694221848e-05	8.16681646335456e-05	8.06195375038412e-05	4.09293438921445e-05	1.75113452129844e-05	0.0025780036548042	5.47310175727615e-06	0.00064511539029517	0.000127643249198481
T[Del(C):R6]T	0.00250850945173895	0.000113311655889271	0.0035911227763648	0.000328810844450635	0.000363758527199174	0.000159760042285026	0.000143185017669379	0.000248543556695056	0.000238151811007772	0.000561349064074627	0.00178346874718502	2.33620362046695e-05	0.00147598765353251	0.000943399650894226
T[Del(C):R7]A	0.00397110265444571	0.000305256360129215	0.000813371124919339	0.000279922067037606	0.000188381998668373	0.000500126009565516	4.40614551817103e-05	0.00011070919757606	0.00012319104685174	0.000128973467311779	0.00127706196041948	8.10829889966837e-06	0.000349335798929034	0.00079882656281604
T[Del(C):R7]G	0.000932402675708456	2.69012211109862e-05	0.000148717230894013	0.000118848038182251	3.79728157084892e-05	2.23056784184503e-05	3.75147615069653e-06	1.32068409479541e-05	5.96572123446356e-06	2.26281924151271e-05	0.00139107729688796	4.91565620792395e-06	0.000354791927313458	0.000109850553855662
T[Del(C):R7]T	0.00185765614240154	0.000306342920466454	0.000364342461996791	0.000260312449915573	0.000201597941687471	0.000849309142922408	0.000121849416541741	4.48306290090766e-05	0.000130535792801706	5.89080046419363e-05	0.00256054305263074	0.000141895230744196	0.000846395721626629	0.0017262484923071
T[Del(C):R8]A	0.00240276464722197	0.000184523292125219	0.000439549414822409	0.000355709333841519	0.0001391225746881	0.000573641321421089	1.77533091955021e-05	0.000637826681067805	7.57257289600726e-05	0.000205818551706281	0.00122682925949347	0.000138195819371223	0.000213948710394079	0.000315418667774614
