Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
SP50173	11	39	78	22	53	0	22	37	14	32	15	23	1	0	0
SP50175	0	3	2	17	0	17	7	14	6	0	0	0	0	0	0
SP107034	6	25	83	32	0	105	19	19	20	0	11	0	0	0	1
SP50179	6	130	74	0	111	28	17	45	46	0	0	56	0	0	0
SP99237	42	0	11	34	0	83	34	31	14	130	20	7	30	6	4
SP107037	17	40	128	69	42	37	70	84	81	42	23	27	56	17	3
SP107041	15	130	55	13	40	55	25	0	5	0	12	6	20	8	2
SP50181	14	72	107	0	2	0	24	162	74	0	19	6	0	23	0
SP99249	56	123	43	0	77	70	25	0	19	6	25	13	22	0	2
SP99253	54	114	104	170	10	40	39	59	36	0	24	2	0	24	3
SP50183	29	110	168	31	27	199	44	34	12	0	29	27	0	0	0
SP99257	94	221	160	0	61	48	142	128	50	0	35	83	3	29	6
SP107044	6	5	17	78	45	0	10	48	3	0	12	15	1	0	1
SP50185	9	93	0	116	0	71	24	50	17	0	46	78	12	0	4
CPCT02020315T	63	0	101	0	0	68	26	47	28	289	23	31	25	43	67
CPCT02020321T	1	3	1	0	0	8	5	0	0	0	3	0	7	0	43
CPCT02020330T	68	152	49	0	90	44	24	61	33	85	30	47	0	68	26
CPCT02010372T	122	308	0	0	0	0	23	0	12	0	223	164	91	21	95
CPCT02020326T	36	236	74	0	139	0	50	4	11	0	20	80	23	37	78
CPCT02020403T	31	68	97	130	73	0	62	69	15	0	26	22	62	23	50
CPCT02040063T	157	0	255	0	90	86	38	106	25	333	42	54	58	13	66
CPCT02060054T	64	177	321	0	72	0	158	143	20	0	34	156	0	62	87
CPCT02060053T	6	144	0	0	0	26	1	14	9	103	1	0	36	8	24
CPCT02020886T	159	114	17	270	2	63	10	63	0	1	145	0	43	20	78
CPCT02130167T	65	130	34	0	151	0	0	0	24	13	18	63	42	46	48
CPCT02080186T	75	206	90	0	61	39	48	22	30	37	11	113	38	38	44
CPCT02130172T	24	71	2	0	0	70	62	0	13	276	111	0	0	2	50
CPCT02020413TII	3	18	2	0	87	209	373	353	28	0	41	0	0	0	222
CPCT02130180T	42	147	39	0	210	8	78	59	26	0	19	135	19	64	39
CPCT02130057T	68	144	129	0	98	86	54	0	40	0	0	25	52	10	110
CPCT02130186T	95	272	118	0	66	79	23	22	26	180	24	0	45	54	40
CPCT02130184T	57	86	31	137	70	0	45	97	255	185	52	29	0	64	52
CPCT02020690T	39	144	152	0	191	32	132	0	35	0	29	0	27	73	65
CPCT02080215T	27	179	0	164	47	0	41	51	16	60	24	12	0	28	95
CPCT02050360T	78	185	0	119	106	25	65	0	49	0	33	18	46	24	175
CPCT02130096T	58	106	153	0	150	38	107	6	40	182	22	0	56	7	147
CPCT02020759T	91	137	88	150	120	36	68	58	11	158	0	0	29	34	112
CPCT02130127T	45	138	57	0	42	7	33	64	19	0	41	101	61	33	48
CPCT02060242T	52	314	105	105	169	0	46	93	2	0	26	0	0	84	92
CPCT02050386T	48	5	22	208	0	0	41	63	27	147	0	0	28	24	99
CPCT02290055T	4	233	0	0	0	47	21	0	20	0	34	40	50	21	50
CPCT02130048T	28	154	0	189	0	66	43	0	6	0	13	44	7	16	76
CPCT02130155T	15	92	23	148	36	0	42	44	15	25	21	1	2	15	93
CPCT02130156T	59	190	71	23	144	15	44	52	62	0	29	21	0	5	121
CPCT02130157T	48	145	32	0	0	0	31	24	14	493	260	0	48	0	202
CPCT02130158T	17	244	3	93	5	39	94	58	3	0	177	39	6	32	155
CPCT02020852T	90	142	25	376	17	1	51	24	13	0	39	0	45	17	137
CPCT02020839T	6	0	7	28	0	37	23	17	11	0	0	0	6	0	42
CPCT02130159T	6	99	40	0	0	50	31	56	1	184	256	0	41	34	79
CPCT02020861T	45	130	87	282	0	53	93	18	19	0	4	0	20	24	134
CPCT02060276T	45	160	85	0	1	112	25	36	22	0	9	0	24	35	93
CPCT02350014T	11	271	11	0	0	35	21	20	11	0	5	0	0	509	75
CPCT02030315T	96	51	0	103	171	2	147	0	0	0	490	0	20	20	76
CPCT02090015T	108	0	157	202	0	58	0	12	47	98	21	74	21	30	51
CPCT02020533T	121	268	6	0	0	23	31	13	19	0	23	50	126	16	41
CPCT02020546T	7	66	0	0	0	39	17	53	4	0	35	0	0	28	21
CPCT02050224T	22	139	248	0	121	0	51	31	49	315	18	30	9	44	132
CPCT02180031T	37	156	283	55	69	0	120	12	29	0	12	64	0	19	216
CPCT02080057T	93	212	0	0	0	0	11	26	3	0	2	21	89	30	26
CPCT02020421T	57	47	105	150	0	46	117	25	9	135	11	0	15	23	86
CPCT02080054T	28	110	71	0	65	10	75	78	60	145	55	6	126	34	84
CPCT02020413T	4	49	0	0	0	313	465	848	13	0	151	15	8	25	51
CPCT02020448T	0	16	16	0	12	0	65	15	24	0	4	35	0	0	60
CPCT02190014T	33	17	65	95	52	8	25	91	7	90	16	0	0	6	52
CPCT02080101T	18	127	41	0	40	0	56	16	25	0	60	53	10	30	65
CPCT02030336T	179	112	0	55	2	261	61	102	10	0	50	10	53	67	42
